"h_id","h_name","line_id","capacity","start_time"
"1","1461","240000146130","2069","15/11/2024 00:00:00"
"2","1462","5500001462K0","2088","15/11/2024 00:00:00"
"3","1551","27000015511U","2092","15/11/2024 00:00:00"
"4","1552","480000155202","2107","15/11/2024 00:00:00"
"5","1553","480000155202","2934","15/11/2024 00:00:00"
"6","1554","27000015511U","2158","15/11/2024 00:00:00"
"7","2635","330000263527","2494","15/11/2024 00:00:00"
"8","2636","8500002636A2","2377","15/11/2024 00:00:00"
"9","4016","020000401603","2274","15/11/2024 00:00:00"
"10","4017","020000401709","2980","15/11/2024 00:00:00"
"11","4018","02000040180B","2415","15/11/2024 00:00:00"
"12","4019","020000401902","2320","15/11/2024 00:00:00"
"13","4051","03000040510B","2668","15/11/2024 00:00:00"
"14","4052","03000040520A","2747","15/11/2024 00:00:00"
"15","4061","030000406102","2208","15/11/2024 00:00:00"
"16","4062","030000406201","2166","15/11/2024 00:00:00"
"17","4063","030000406301","2664","15/11/2024 00:00:00"
"18","4064","030000406401","2857","15/11/2024 00:00:00"
"19","4065","030000406502","2372","15/11/2024 00:00:00"
"20","4066","030000406601","2882","15/11/2024 00:00:00"
"21","4067","030000406702","2775","15/11/2024 00:00:00"
"22","4068","030000406802","2480","15/11/2024 00:00:00"
"23","4069","030000406902","2290","15/11/2024 00:00:00"
"24","4070","030000407002","2531","15/11/2024 00:00:00"
"25","4071","030000407102","2085","15/11/2024 00:00:00"
"26","4072","030000407202","2767","15/11/2024 00:00:00"
"27","4081","04000040810P","2521","15/11/2024 00:00:00"
"28","4082","01000040820F","2526","15/11/2024 00:00:00"
"29","4085","04000040850G","2169","15/11/2024 00:00:00"
"30","4086","04000040860K","2798","15/11/2024 00:00:00"
"31","4095","04000040950X","2186","15/11/2024 00:00:00"
"32","4167","05000041700A","2825","15/11/2024 00:00:00"
"33","4168","05000041680C","2238","15/11/2024 00:00:00"
"34","4169","05000041680C","2662","15/11/2024 00:00:00"
"35","4170","05000041700A","2972","15/11/2024 00:00:00"
"36","4171","030000417138","2325","15/11/2024 00:00:00"
"37","4172","02000041720R","2337","15/11/2024 00:00:00"
"38","4174","02000041720R","2714","15/11/2024 00:00:00"
"39","4181","05000041840Q","2191","15/11/2024 00:00:00"
"40","4182","05000041820R","2691","15/11/2024 00:00:00"
"41","4183","05000041820R","2180","15/11/2024 00:00:00"
"42","4184","05000041840Q","2738","15/11/2024 00:00:00"
"43","4187","04000041870W","2816","15/11/2024 00:00:00"
"44","4188","050000418818","2220","15/11/2024 00:00:00"
"45","4229","13000042290P","2122","15/11/2024 00:00:00"
"46","4230","12000042300R","2552","15/11/2024 00:00:00"
"47","4245","19000042450V","2433","15/11/2024 00:00:00"
"48","4246","180000424604","2371","15/11/2024 00:00:00"
"49","4317","12000043200O","2137","15/11/2024 00:00:00"
"50","4318","19000043180R","2052","15/11/2024 00:00:00"
"51","4319","19000043180R","2762","15/11/2024 00:00:00"
"52","4320","12000043200O","2363","15/11/2024 00:00:00"
"53","4325","12000043250S","2008","15/11/2024 00:00:00"
"54","4326","12000043260L","2893","15/11/2024 00:00:00"
"55","4327","15000043270R","2534","15/11/2024 00:00:00"
"56","4328","160000432809","2312","15/11/2024 00:00:00"
"57","4330","16000043300N","2996","15/11/2024 00:00:00"
"58","4347","19000043470E","2016","15/11/2024 00:00:00"
"59","4348","19000043480I","2537","15/11/2024 00:00:00"
"60","4349","19000043490D","2026","15/11/2024 00:00:00"
"61","4350","19000043500H","2682","15/11/2024 00:00:00"
"62","4355","110000435508","2847","15/11/2024 00:00:00"
"63","4356","160000435708","2759","15/11/2024 00:00:00"
"64","4357","160000435708","2979","15/11/2024 00:00:00"
"65","4358","110000435508","2553","15/11/2024 00:00:00"
"66","4367","160000437008","2346","15/11/2024 00:00:00"
"67","4368","1h000043680A","2057","15/11/2024 00:00:00"
"68","4369","1h000043680A","2200","15/11/2024 00:00:00"
"69","4370","160000437008","2982","15/11/2024 00:00:00"
"70","4471","240000447118","2493","15/11/2024 00:00:00"
"71","4472","24000044730X","2659","15/11/2024 00:00:00"
"72","4473","24000044730X","2708","15/11/2024 00:00:00"
"73","4474","240000447118","2581","15/11/2024 00:00:00"
